name,price,manufacturer,description,image
ALARREST 120 Tablet 10's,69,FLOREAT MEDICA PVT LTD,"ALARREST 120 contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/931613/alarrest_120_tablet_10s_0_1.jpg
Alaspan 10mg Tablet 10'S,128,Piramal Enterprises Ltd,"ALASPAN 10MG contain Loratadine which belongs to a group of medicines called antihistamines It is used to treat various allergic conditions such as runny and blocked nose, sneezing, watery eyes (hay fever) and skin condition like itching, swelling and rashes.   Loratadine blocks the chemical messenger (histamine) which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Before taking this medicine tell your doctor if you have kidney disease, heart disease, liver problems, diabetes or convulsions.",https://www.netmeds.com/images/product-v1/150x150/44541/alaspan_10mg_tablet_10_s_0.jpg
Alastin 10mg Tablet 10'S,45,Leeford Healthcare Ltd (Generics),"ALASTIN 10MG contain loratadine which belongs to a group of medicine called antihistamines It is used to relieve allergy symptoms such as runny and blocked nose, sneezing, watery eyes (e.g. in hay fever) and skin condition with pale or red irregular raised patches and severe itching (urticaria).",https://www.netmeds.com/images/product-v1/150x150/850841/alastin_10mg_tablet_10s_0_0.jpg
ALCET 10 Tablet 10's,11.37,ALLIAANCE BIOTECH,"ALCET 10 contains Cetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ALCET 10 exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
ALCITRA Tablet 10's,15,Calibar Pharmaceuticals,"ALCITRA contains Cetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ALCITRA exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
Alcon Plus Tablet 10'S,59,Heal India Laboratories Pvt Ltd,"ALCON PLUS contains Cetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ALCON PLUS exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/325738/alcon_plus_tablet_10s_0_1.jpg
ALDAY 10mg Tablet 10's,18.48,SH Pharmaceutical,"ALDAY 10MG contains Cetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ALDAY 10MG exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
Alecloz 180mg Tablet 10'S,140,Alniche Life Sciences Pvt Ltd,"ALECLOZ contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/823315/alecloz_180mg_tablet_10s_0_0.jpg
Alenix 10mg Tablet 10'S,66,Canixa Life Sciences Pvt Ltd,"ALENIX 10MG contains Desloratadine which belongs to a class of medications called antihistamines, which helps to control allergic reaction and its symptoms This medicine is indicated to relieve symptoms associated with allergic rhinitis (inflammation of the nasal passages caused by an allergy like hay fever or allergy to dust mites). It is also used to relieve the symptoms associated with urticaria (a skin condition caused by an allergy) which includes itching and hives. ALENIX 10MG works by blocking the action of histamine, a substance in the body which causes allergic symptoms.",https://www.netmeds.com/images/product-v1/150x150/848217/alenix_10mg_tablet_10s_0_0.jpg
Alenix 5mg Tablet 10'S,44,Canixa Life Sciences Pvt Ltd,"ALENIX 5MG contains Desloratadine which belongs to a class of medications called antihistamines, which helps to control allergic reaction and its symptoms This medicine is indicated to relieve symptoms associated with allergic rhinitis (inflammation of the nasal passages caused by an allergy like hay fever or allergy to dust mites). It is also used to relieve the symptoms associated with urticaria (a skin condition caused by an allergy) which includes itching and hives. ALENIX 5MG works by blocking the action of histamine, a substance in the body which causes allergic symptoms.",https://www.netmeds.com/images/product-v1/150x150/848221/alenix_5mg_tablet_10s_0_0.jpg
Alerfix 5mg Tablet 10'S,47.57,Eris Lifesciences Ltd,"ALERFIX contain Levocetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ALERFIX exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/323684/alerfix_5mg_tablet_10_s_0.jpg
Alergin L Tablet 10'S,67,Cipla Ltd (Generics),"ALERGIN L contain Levocetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ALERGIN L exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
Alergin NF Syrup 30ml,17.64,Cipla Ltd (Generics),"ALERGIN NF contain Cetirizine which belongs to a group of medicine called antihistamines It is used to relieve the symptoms of hay fever (seasonal rhinitis) such as sneezing, itchy, red and watering eyes, irritated, runny or blocked nose in adults and children over the age of 2 years and also used to relieve the symptoms of other allergies such as runny and itchy nose (non-seasonal rhinitis), skin allergies such as rash, itching and urticaria (hives), pet or house mite allergies in adult and older children (over the age of 6 years). ALERGIN NF works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. This medicine is strictly not recommended for use in children under 2 years.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/syrups.jpg
Alerid 10mg Tablet 10'S,18.49,Cipla Ltd,"ALERID 10MG contains Cetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ALERID 10MG exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/313497/alerid_10mg_tablet_10_s_0.jpg
Alerid Syrup 30ml,19.82,Cipla Ltd,"ALERID contain Cetirizine which belongs to a group of medicine called antihistamines It is used to relieve the symptoms of hay fever (seasonal rhinitis) such as sneezing, itchy, red and watering eyes, irritated, runny or blocked nose in adults and children over the age of 2 years and also used to relieve the symptoms of other allergies such as runny and itchy nose (non-seasonal rhinitis), skin allergies such as rash, itching and urticaria (hives), pet or house mite allergies in adult and older children (over the age of 6 years). ALERID works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. This medicine is strictly not recommended for use in children under 2 years.",https://www.netmeds.com/images/product-v1/150x150/313498/alerid_syrup_30ml_0.jpg
Alerid Syrup 60ml,39.64,Cipla Ltd,"ALERID contain Cetirizine which belongs to a group of medicine called antihistamines It is used to relieve the symptoms of hay fever (seasonal rhinitis) such as sneezing, itchy, red and watering eyes, irritated, runny or blocked nose in adults and children over the age of 2 years and also used to relieve the symptoms of other allergies such as runny and itchy nose (non-seasonal rhinitis), skin allergies such as rash, itching and urticaria (hives), pet or house mite allergies in adult and older children (over the age of 6 years). ALERID works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. This medicine is strictly not recommended for use in children under 2 years.",https://www.netmeds.com/images/product-v1/150x150/313496/alerid_syrup_60ml_0.jpg
ALERTAC 10mg Tablet 10's,9.7,Seagull Pharmaceuticals Pvt Ltd,"ALERTAC 10MG contains Cetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ALERTAC 10MG exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
Alertriz 5mg Tablet 10'S,44.21,Cadila Pharmaceuticals Ltd (Generics),"ALERTRIZ 5MG contain Levocetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ALERTRIZ 5MG exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
Alertus Drops 15ml,55,Icarus Health Care Pvt Ltd,"ALERTUS contain Levocetirizine which belongs to a group of medicine called antihistamines It is used to relieve the symptoms of hay fever (seasonal rhinitis) such as sneezing, itchy, red and watering eyes, irritated, runny or blocked nose in adults and children over the age of 2 years and also used to relieve the symptoms of other allergies such as runny and itchy nose (non-seasonal rhinitis), skin allergies such as rash, itching and urticaria (hives), pet or house mite allergies in adult and older children (over the age of 6 years). ALERTUS works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. This medicine is strictly not recommended for use in children under 2 years.",https://www.netmeds.com/images/product-v1/150x150/379980/alertus_drops_15ml_0.jpg
ALEVA 5 Tablet 10's,29,Aronex Life Sciences Pvt Ltd,"ALEVA 5 contain Levocetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ALEVA 5 exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
ALFREE Syrup 60ml,39,STALLION LABORATORIES PVT LTD,"ALFREE contain Cetirizine which belongs to a group of medicine called antihistamines It is used to relieve the symptoms of hay fever (seasonal rhinitis) such as sneezing, itchy, red and watering eyes, irritated, runny or blocked nose in adults and children over the age of 2 years and also used to relieve the symptoms of other allergies such as runny and itchy nose (non-seasonal rhinitis), skin allergies such as rash, itching and urticaria (hives), pet or house mite allergies in adult and older children (over the age of 6 years). ALFREE works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. This medicine is strictly not recommended for use in children under 2 years.",https://www.netmeds.com/images/product-v1/150x150/932004/alfree_syrup_60ml_0_0.jpg
ALGO 10mg Tablet 10's,37.5,Rapross Pharmaceuticals (P) Ltd,"ALGO 10MG contain loratadine which belongs to a group of medicine called antihistamines It is used to relieve allergy symptoms such as runny and blocked nose, sneezing, watery eyes (e.g. in hay fever) and skin condition with pale or red irregular raised patches and severe itching (urticaria).",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
ALGROT 180mg Tablet 10's,172,Khandelwal Laboratories Pvt Ltd,"ALGROT 180MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
ALL 3 5mg Tablet 10'S,35,Pentamark Organics,"ALL 3 5MG contain Levocetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ALL 3 5MG exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
ALLARIZ 120 Tablet 10's,77.4,Aronex Life Sciences Pvt Ltd,"ALLARIZ 120 contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
ALLARIZ 180 Tablet 10's,122.5,Aronex Life Sciences Pvt Ltd,"ALLARIZ 180 contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
ALLEFAST 120mg Tablet 10's,57.5,Sterling Lab,"ALLEFAST 120MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
ALLEFAST 180mg Tablet 10's,73.25,Sterling Lab,"ALLEFAST 180MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
ALLEGRA Nasal Spray 120mdi,361,Sanofi India Limited,"ALLEGRA contain Fluticasone which belongs to a group of medicine called corticosteroids It has antiinflammatory properties. When sprayed into your nose it will reduce swelling and irritation. It is used to treat and prevent seasonal allergic rhinitis such as hay fever, perennial rhinitis (blocked or runny nose, sneezing, and itching caused by dust mites or animals such as cats and dogs).",https://www.netmeds.com/images/product-v1/150x150/902393/allegra_nasal_spray_120mdi_0_1.jpg
Allegra 120mg Tablet 10'S,198.93,Sanofi India Limited,"ALLEGRA 120MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/17059/allegra_120mg_tablet_10s_0_1.jpg
Allegra 180mg Tablet 10'S,228.37,Sanofi India Limited,"ALLEGRA 180MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/17060/allegra_180mg_tablet_10s_0_1.jpg
Allercet 10mg Tablet 10'S,18.48,Micro Labs Ltd,"ALLERCET 10MG contain Cetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ALLERCET 10MG exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/369149/allercet_10mg_tablet_10_s_0.jpg
Allercet Pedtabs Tablet 10'S,28,Micro Labs Ltd,"ALLERCET PEDTABS contains Cetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ALLERCET PEDTABS exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/370787/allercet_pedtabs_tablet_10s_0_0.jpg
Allercet Syrup 60ml,39.65,Micro Labs Ltd,"ALLERCET contain Cetirizine which belongs to a group of medicine called antihistamines It is used to relieve the symptoms of hay fever (seasonal rhinitis) such as sneezing, itchy, red and watering eyes, irritated, runny or blocked nose in adults and children over the age of 2 years and also used to relieve the symptoms of other allergies such as runny and itchy nose (non-seasonal rhinitis), skin allergies such as rash, itching and urticaria (hives), pet or house mite allergies in adult and older children (over the age of 6 years). ALLERCET works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. This medicine is strictly not recommended for use in children under 2 years.",https://www.netmeds.com/images/product-v1/150x150/369153/allercet_syrup_60ml_0.jpg
Allercet L Tablet 10'S,54,Micro Labs Ltd,"ALLERCET contain Levocetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ALLERCET exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/369152/allercet_l_tablet_10_s_0.jpg
Allercet M Syrup 60ml,104,Micro Labs Ltd,"ALLERCET M contain Cetirizine which belongs to a group of medicine called antihistamines It is used to relieve the symptoms of hay fever (seasonal rhinitis) such as sneezing, itchy, red and watering eyes, irritated, runny or blocked nose in adults and children over the age of 2 years and also used to relieve the symptoms of other allergies such as runny and itchy nose (non-seasonal rhinitis), skin allergies such as rash, itching and urticaria (hives), pet or house mite allergies in adult and older children (over the age of 6 years). ALLERCET M works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. This medicine is strictly not recommended for use in children under 2 years.",https://www.netmeds.com/images/product-v1/150x150/369150/allercet_m_syrup_60ml_0.jpg
Allerde 5mg Tablet 10'S,68,East West Pharmaceuticals Pvt Ltd,"ALLERDE 5MG contains Desloratadine which belongs to a class of medications called antihistamines, which helps to control allergic reaction and its symptoms This medicine is indicated to relieve symptoms associated with allergic rhinitis (inflammation of the nasal passages caused by an allergy like hay fever or allergy to dust mites). It is also used to relieve the symptoms associated with urticaria (a skin condition caused by an allergy) which includes itching and hives. ALLERDE 5MG works by blocking the action of histamine, a substance in the body which causes allergic symptoms.",https://www.netmeds.com/images/product-v1/150x150/382199/allerde_5mg_tablet_10_s_0.jpg
